Sloka,Prose
jātasvedastato rāmo roṣādraktāntalocanaḥnirbhibheda sahasreṇa bāṇānāṃ samare kharam,tataḥ jātasvedaḥ roṣāt raktāntalocanaḥ rāmaḥ bāṇānām sahasreṇa samare kharam nirbhibheda
athavā'rjuna śaṃsa tvaṃ priyāṃ tāmarjunapriyāmjanakasya sutā bhīruryadi jīvati vā na vā,athavā arjuna tvam arjunapriyām tāṃ priyām śaṃsa bhīruḥ janakasya sutā yadi jīvati vā na vā
bhrātaraṃnihataṃśrutvārāmeṇākliṣṭakarmaṇā mahodaramahāpārśvauśokākrāntaubabhūvatuḥ,akliṣṭakarmaṇā rāmeṇa bhrātaram nihatam śrutvā mahodaramahāpārśvau śokākrāntau babhūvatuḥ
tatansacāpamudgṛhyaprahastasyamahābalaḥ babhañjatarasānīlonanādacapunaḥpunaḥ,tataḥ saḥ cāpam udgṛhya mahābalaḥ prahastasya babhañja punaḥ punaḥ nanādaca
kaccitte brāhmaṇā śśarma sarvaśāstrārthakovidāḥāśaṃsante mahāprājña paurajānapadaissaha,mahāprājña sarvaśāstrārtha kovidāḥ brāhmaṇāḥ paurajānapadaissaha te śarma āśaṃsante kaccit
kinnu vakṣyāmi rājānaṃ dharmajñaṃ satyavādinam sītāyā janakaṃ pṛṣṭaḥ kuśalaṃ janasaṃsadi,janasaṃsadi pṛṣṭa: sītāyāḥ dharmajñam satyavādinam rājānam janakam kiṃ nu kuśalam vakṣyāmi
eteduṣprasahāghorābalinaḥkāmarūpiṇaḥ yūthapāyūthapaśreṣṭhāmeṣāṃyūthānibhāgaśaḥ,balinaḥ kāmarūpiṇaḥ te: ghorāḥ yūthapāḥ yūthapaśreṣṭhāḥ duṣprasahāḥ yeṣām yūthāni: bhāgaśaḥ
etenaśataśodevādānavāścaparājitāḥ rakṣitāni ca rakṣāṃsiyakṣāścāpiniṣūditāḥ,etena śataśaḥ devāḥ dānavāśca parājitāḥ yakṣāścā rakṣitāni ca rakṣāṃsi niṣūditāḥ
taṃ tu deśamatikramya śailodā nāma nimnagāubhayostīrayostasyāḥ kīcakā nāma veṇavaḥ te nayanti paraṃ tīraṃ siddhānpratyānayanti ca,taṃ tu deśam atikramya śailodānāma nimnagā tasyāḥ ubhayoḥ tīrayoḥ kīcakāḥ nāma veṇavaḥ te siddhān paraṃ tīram nayanti pratyānayanti ca
tato devāssagandharvā: pannagoragarākṣasā:mohitāstejasā tasya tapasā mandaraśmaya: kaśmalopahatā ssarve pitāmahamathābruvan,tata: devā: sagandharvā: pannagoragararākṣasā: tasya tejasā mohitā: tapasā mandaraśmaya: kaśmalopahatā: atha sarve pitāmaham abruvan
tairmantribhirmantrahite niyuktairvṛto'nuraktai: kuśalaissamarthai: sa pārthivo dīptimavāpa yuktastejomayairgobhirivodito'rka:,mantrahite niyuktai: anuraktai: kuśalai: samarthai: tai: mantribhi: vṛta: sa: pārthiva: tejomayai: gobhi: yukta: udita: arka: iva dīptim avāpa
rathairaśvairdhvajaiścitraiśśarairharirakṣasām rudhireṇasañchannābhūmirbhayakarātadā,tadā rathaiḥ citraiḥ dhvajaiḥ aśvaiḥ harirakṣasām śarīraiḥ rudhireṇa sañchannā bhūmiḥ bhayakarā
evamuktvāmahāprājñaḥsuṣeṇorāghavaṃvacaḥ samīpasthamuvācedaṃhanūmantaṃmahākapim,mahāprājñaḥ suṣeṇaḥ rāghavam evam vacaḥ uktvā samīpastham mahākapim hanūmantam idam uvāca
tasyāstadvacanaṃ śrutvā sahasrākṣa: purandara:uvāca prāñjalirvākyaṃ ditiṃ balaniṣūdana:,sahasrākṣa: balaniṣūdana: purandara: tasyā: tat vacanam śṛtvā prāñjali: ditim vākyam uvāca
tāngṛhītapraharaṇānsarvāndṛṣṭvā tu lakṣmaṇaḥ babhūva dviguṇaṃ kruddho bahvindhana ivānalaḥ,lakṣmaṇaḥ gṛhītapraharaṇān tān harīn dṛṣṭvā bahvindhanaḥ analaḥ iva dviguṇam kruddhaḥ babhūva
samantādabhisampatya siṃhavyāghramṛgadvijāḥanvadhāvaṃstadā roṣātsītāṃ chāyānugāminaḥ,tadā siṃhavyāghramṛgadvijāḥ samantāt abhisampatya roṣāt chāyānugāminaḥ sītām anvadhāvan
apavāhya tvayā devi saṅgrāmānnaṣṭacetanaḥtatrāpi vikṣataśśastraiḥ patiste rakṣitastvayā,devi naṣṭacetana: tvayā saṅgrāmāt apavāhya rakṣita: tatrāpi śastrai: vikṣata: te pati: tvayā rakṣita:
evamuktastu deveśo viṣṇustridaśapuṅgava:pitāmahapurogāṃstānsarvalokanamaskṛta: abravīttridaśānsarvānsametāndharmasaṃhitān,tridaśapuṅgava: sarvalokanamaskṛta: deveśa: viṣṇu: evam ukta: sametān dharmasaṃhitān pitāmahapurogān tān sarvān tridaśān abravīt
jāmbavatpramukhān sarvānanujñāpya mahāharīn asminnevaṃ gate kārye bhavatāṃ ca niveditenyāyyaṃ sma saha vaidehyā draṣṭuṃ tau pārthivātmajau,bhavatām nivedite asmin kārye evaṃ gate jāmbavatpramukhān mahāharīn samanujñāpya vaidehyā saha tau pārthivātmajau draṣṭum nyāyyaṃ sma
taṃdadarśamaheṣvāsorathasthassamalaṅkṛtaḥ alaṅkṛtamamitraghnorāghavasyānujaṃbalī,maheṣvāsaḥ rathe samalaṅkṛtaḥ amitraghnaḥ balī alaṅkṛtam tam rāghavasya anujam dadarśa
pariṣvajya ca dharmātmā niṣīdeti tato'bravīt niṣaṇṇaṃ taṃ tato dṛṣṭvā kṣitau rāmo'bravīdvacaḥ,tataḥ dharmātmā rāmaḥ pariṣvajya tataḥ niṣīda iti abravīt vacaḥ kṣitau niṣaṇṇām tam dṛṣṭvā abravīt
paśya rūpāṇi saumitre vanānāṃ puṣpaśālināmsṛjatāṃ puṣpavarṣāṇi toyaṃ toyamucāmiva,saumitre puṣpavarṣāṇi sṛjatām puṣpaśālinām vanānām toyaṃ toyamucāmiva rūpāṇi paśya
tadrākṣasānīkamatipracaṇḍamālokyarāmobhujagendrabāhuḥ vibhīṣaṇaṃśastrabhṛtāṃvariṣṭhamuvācasevānugataḥpṛthuśrīḥ,bhujagendrabāhuḥ sevānugataḥ pṛthuśrīḥ rāmaḥ atipracaṇḍam tat rākṣasānīkam ālokya śastrabhṛtām variṣṭham vibhīṣaṇam uvāca
tataśśarasahasreṇarāmamakliṣṭakāriṇam ardayitvāśaraugheṇamātalimpratyavidhyata,tataḥ śarasahasreṇa akliṣṭakāriṇam rāmam ardayitvā śaraugheṇa mātalim pratyavidhyata
tava prasādānmukto'hamihaśāpātsudāruṇātbhuvanaṃ svaṃ gamiṣyāmi svasti vo'stu parantapa,tava prasādāt sudāruṇāt abhiśāpāt parantapa aham muktaḥ svam bhuvanam gamiṣyāmi vaḥ svasti astu
ānītastvamimaṃ deśamupāyena maharṣibhiḥeṣāṃ vadhārthaṃ krūrāṇāṃ rakṣasāṃ pāpakarmaṇām,krūrāṇām pāpakarmaṇām eṣām rakṣasām vadhārtham tvam maharṣibhiḥ upāyena imam deśam ānītaḥ
prasaktāśrumukhītyavaṃ bruvantī janakātmajāādhogatamukhī bālā vilaptumupacakrame,prasaktāśrumukhī bālā janakātmajā evam bruvantī adhogatamukhī vilaptum upacakrame
rākṣasāścaśaraistīkṣṇairbiduḥkapikuñjarān śūlamudgarakhaḍagaiścajaghnuḥprāsaiścaśaktibhiḥ,rākṣasāśca tīkṣṇaiḥ śaraiḥ kapikuñjarān bibhiduḥ śūlamudgarakhaḍagaiśca śaktibhiḥ prāsaiśca jaghnuḥ
kuto niṣkramituṃ śaktirmayā jīrṇasya rakṣasaḥ bhrātuste meṣarūpasya gatasya yamasādanam,mayā jīrṇasya rakṣasaḥ meṣarūpasya yamasādanam gatasya te bhrātuḥ niṣkramitum śaktiḥ kutaḥ
tataḥ prasravaṇaṃ śailaṃ te gatvā citrakānanampraṇamya śirasā rāmaṃ lakṣmaṇaṃ ca mahābalam yuvarājaṃ puraskṛtya sugrīvamabhivādya capravṛttimatha sītāyāḥ pravaktumupacakramuḥ,tataḥ te citrakānanam prasravaṇam śailam yuvarājam puraskṛtya gatvā rāmam mahābalam lakṣmaṇaṃ ca śirasā praṇamya sugrīvam abhivādya ca atha sītāyāḥ pravṛttim pravaktum upacakramuḥ
taṃ toraṇaviṭaṅkasthaṃ hanumantaṃ mahākapimjambumālī mahābāhurvivyādha niśitaiśśaraiḥ,mahābāhuḥ jambumālī toraṇaviṭaṅkastham mahākapim taṃ hanumantam niśitaiḥ śaraiḥ vivyādha
mṛgā mṛgībhiḥ sahitā bahavaḥ pṛṣatā vane manojñarūpā dṛśyante kusumairiva citritāḥ,vane bahavaḥ pṛṣatāḥ mṛgāḥ kusumaiḥ citritā iva manojñarūpāḥ mṛgībhiḥ sahitāḥ dṛśyante
kalyāṇībatagātheyaṃlaukikīpratibhātime etijīvantamānandonaraṃvarṣaśatādapi,jīvantam naram varṣaśatādapi ānandaḥ eti iyam laukikī gāthā me kalyāṇī pratibhāti
tāṃ lakṣmaṇastīrthavatī vicitvā rāmamabravīt naināṃ paśyāmi tīrtheṣu krośato na śṛṇoti me,lakṣmaṇaḥ tīrthavatīm tām vicitvā rāmam abravīt enām tīrtheṣu na paśyāmi me krośataḥ na śṛṇoti
dhyātvā punaruvācedaṃ vacanaṃ raghunandanaḥ harīṇāmīśvarasyāpi sugrīvasyopaśṛṇvataḥ,raghunandanaḥ dhyātvā: harīṇām: īśvarasya: sugrīvasya: upaśṛṇvataḥ punaḥ idaṃ vacanam: uvāca:
tāni bāṇairmahābāhuśśastrāṇyāvārya rāghavaḥjahāra samare prāṇāṃściccheda ca śirodharān,mahābāhuḥ rāghavaḥ samare bāṇaiḥ teṣām śastrāṇi āvārya prāṇān jahāra śirodharān ciccheda
varṣāsamayakālaṃ tu pratijñāya harīśvaraḥvyatītāṃścaturo māsānviharannāvabudhyate,harīśvaraḥ varṣāsamayakālam pratijñāya viharan vyatītān caturaḥ māsān nāvabudhyate
sa tunālīkanārācairgadābhirmusalairapi rakṣobhissamvṛtassaṅkhyevānarān vicakarta ha,sa tu saṅkhye rakṣobhiḥ samvṛtaḥ nālikanārācaiḥ gadābhiḥ musalairapi vānarān vicakarta ha
rathāṅgasāhvā natyūhā haṃsāḥ kāraṇḍavāḥ pare tathā puṃskokilāḥ krauñcā visaṃjñā bhejire diśaḥ,rathāṅgasāhvāḥ natyūhā haṃsāḥ kāraṇḍavāḥ plavāḥ tathā puṃskokilāḥ krauñcāḥ visaṃjñāḥ diśaḥ bhejire
tāsāṃ tadvacanaṃ śrutvā rājā paramadhārmika:pratyuvāca mahātejā: kanyāśatamanuttamam,paramadhārmika: mahātejā: rājā tāsām tat vacanam śrutvā anuttamam kanyāśatam pratyuvāca
sa tavādarśanādārye rāghavaḥ paritapyatemahatā jvalatā nityamagninevāgniparvataḥ,ārye saḥ rāghavaḥ tava adarśanāt nityam jvalatā mahatā agninā agniparvataḥ iva paritapyate
śrutvāhanumatovākyaṃrāvaṇobhīmavikramaḥ saṃraktanayanaḥkrodhādidaṃvacanamabravīt,bhīmavikramaḥ rāvaṇaḥ hanumataḥ vākyam śrutvā krodhāt saṃraktanayanaḥ idam vacanam abravīt
kā hi te śaktirekasya bahūnāṃ raṇamūrdhanīasmākamagrataḥ sthātuṃ kiṃ punaryoddumāhave,bahūnām asmākam agrataḥ raṇamūrdhani sthātum ekasya te kā śaktiḥ āhave yoddhum kiṃ punaḥ
sa nunna iva tīkṣṇena pratodena hayottamaḥrājā pracodito'bhīkṣṇaṃ kaikeyīmidamabravīt,saḥ rājā tīkṣṇena pratodena nunnaḥ hayottamaḥ iva abhīkṣṇam pracoditaḥ kaikeyīm idam abravīt
yāni mālyāni deveṣu yāni caitrarathe vaneprayāge tānyadṛśyanta bharadvājasya śāsanāt,yāni mālyāni deveṣu yāni caitrarathe vane tāni bharadvājasya śāsanāt prayāge adṛśyanta
uddeśe naṣṭamārge'smin rākṣasaiḥ parivārite sāgareṇa parikṣipte gupte vasati jānakī,jānakī naṣṭamārge rākṣasaiḥ parivārite sāgareṇa parikṣipte gupte asmin uddheśe vasati
sa tutenaprahāreṇavihvalobhṛśatāḍitaḥ nipapātatadākumbhogatārcirivapāvakaḥ,saḥkumbhaḥ tena prahāreṇa bhṛśatāḍitaḥ vihvalaḥ tadā gatārciḥ pāvakaḥiva nipapāta
niśamya tallakṣmaṇamātṛvākyaṃrāmasya māturnaradevapatnyā:sadyaśśarīre vinanāśa śokaḥśaradgato megha ivālpatoyaḥ,tat lakṣmaṇamātṛvākyam niśamya naradevapatnyā: rāmasya mātuḥ śokaḥ śaradgataḥ alpatoyaḥ megha iva sadyaḥ śarīre vinanāśa
yadyapriyaṃ kiñcidasampradhāryakṛtaṃ mayā syāttava dīrghabāhokṣamasva me taddharivaṃśanāthavrajāmi mūrdhnā tava vīra pādau,dīrghabāho harivaṃśanātha vīra asampradhārya mayā tava apriyam kiñcit kṛtaṃ syādyadi me tat kṣamasva mūrdhnā tava pādo vrajāmi
tasyagātreṣupatitābhidyanteśataśaśśilāḥ pādapāḥpuṣpitāgrāścabhagnāḥpeturmahītale,tasya gātreṣu patitāḥ bahavaḥ śilāḥ bhidyante puṣpitāgrāśca pādapāḥ bhagnāḥ mahītale petuḥ
pūrvaṃ kṛtayuge tāta parvatāḥ pakṣiṇo'bhavante hi jagmurdiśaḥ sarvā garuḍānilaveginaḥ,tāta pūrvam kṛtayuge parvatāḥ pakṣiṇaḥ abhavan te garuḍānilaveginaḥ sarvāḥ diśaḥ jagmuḥ
supatravājitābāṇājvalitāivapannagāḥ nairṛtorasyabhāsantasavitūraśmayoyathā,jvalitāḥ pannagāḥiva supatravājitāḥ bāṇāḥ nairṛtorasi savituḥ raśmayaḥyathā abhāsanta
chatraṃ śataśalākaṃ ca divyamālyopaśobhitambhagnadaṇḍamidaṃ kasya bhūmau samyaṅnipātitam,śataśalākaṃ ca divyamālyopaśobhitam bhagnadaṇḍam idaṃ chatram kasya samyak bhūmau nipātitam
avalokya tata ssītāmāyācantīmaninditāmdayitāṃ ca vidheyāṃ ca rāmo lakṣmaṇamabravīt,tata: rāmaḥ ayācantīm aninditām dayitām vidheyāṃ ca sītām avalokya lakṣmaṇam abravīt
daivāsure ca saṅgrāme jananyai tava pārthivaḥsamprahṛṣṭo dadau rājā varamārādhitaḥ prabhuḥ,pārthivaḥ prabhuḥ rājā daivāsure saṅgrāme ārādhitaḥ samprahṛṣṭaḥ tava jananyai varaṃ ca dadau
nimeṣāntaramātreṇaaṅgadaḥkapikuñjaraḥ udatiṣṭhatadīptākṣodaṇḍāhataivoragaḥ,kapikuñjaraḥ aṅgadaḥ nimeṣāntaramātreṇa dīptākṣaḥ daṇḍāhataḥ uragaḥiva udatiṣṭhata
tamabravīnmahātejālakṣmaṇasyopaśṛṇvataḥ vimṛśyarāghavovākyamidaṃsnehapuraskṛtam,mahātejāḥ rāghavaḥ vimṛśya lakṣmaṇasya upaśṛṇvataḥ tam snehapuraskṛtam idam uvāca
yanmātāpitarau vṛttaṃ tanaye kuruta: sa dā na supratikaraṃ tat tu mātrā pitrā ca yatkṛtam yathāśakti pradānena svāpanocchādanena ca nityaṃ ca priyavādena tathā saṃvardhanena ca,mātāpitarau tanaye sadā yat vṛttam kurutaḥ yathāśaktipradānena svāpanocchādanena ca nityaṃ ca priyavādena tathā saṃvardhanena ca mātrā pitrā ca yat kṛtam tattu na supratikaram
vyatītāyāṃ tu śarvaryāmādityasyodaye tataḥsametya rājakartāraḥ sabhāmīyurdvijātayaḥ,tataḥ śarvaryām vyatītāyāṃ tu ādityasya udaye rājakartāraḥ dvijātayaḥ sametya sabhām īyuḥ
sā tasya śuśubhe śālā tābhistrībhirvirājitāśāradīva prasannā dyaustārābhirabhiśobhitā,tasya sā śālā tābhiḥ strībhiḥ virājitā tārābhiḥ abhiśobhitā prasannā śāradī dyauḥ iva śuśubhe
keciducchritalāṅgūlāḥ prahṛṣṭāḥ kapikuñjarāḥāyatāñcitadīrghāṇi lāṅgūlāni pravivyadhuḥ,prahṛṣṭāḥ kecit kapikuñjarāḥ ucchritalāṅgūlāḥ āyatāñcitadīrghāṇi lāṅgūlāni pravivyadhuḥ
anvīyamāno rakṣobhiryayau sukhamarindamaḥhanumāṃścārayāmāsa rākṣasānāṃ mahāpurīm,arindamaḥ hanumān rakṣobhiḥ anvīyamānaḥ sukham yayau rākṣasānām mahāpurīm cārayāmāsa
ekasya tu vimardho'yaṃ na dvayorvadatāṃvara na hi vṛttaṃ hi paśyāmi balasya mahataḥ padam,vadatām vara ayam ekasya vimardhaḥ dvayoḥ na mahataḥ balasya vṛttam padam na hi paśyāmi
vimṛjyavadanaṃtasyakapirājasyadhīmataḥ abravītkālasamprāptasambhrāntamidaṃvacaḥ,dhīmataḥ tasyakapirājasya vadanam vimṛjya kālasamprāptam asambhrāntam idaṃvacaḥ abravīt
uddhūtaśca vinā vātaṃ reṇurjaladharāruṇaḥ vīcīkūcīti vāśyantyo babhūvustatra śārikāḥ,vinā vātam jaladharāruṇaḥ reṇuḥ uddhūtaḥ tatra śārikāḥ vīcīkūcīti vāśyantyaḥ babhūvuḥ
iyamākāśagā gaṅgā yasyāṃ putraṃ hutāśana:janayiṣyati devānāṃ senāpatimarindamam,yasyām hutāśana: arindamam devānām senāpatim putram janayiṣyati iyam ākāśagā gaṅgā
māṃ vā hareyustvaddhastādviśaseyurathāpi vāavyavasthau hi dṛśyete yuddhe jayaparājayau,tvat hastāt mām hareyuḥ athāpi vā viśaseyuḥ yuddhe jayaparājayau avyavasthau dṛśyete hi
sababhūvatadākūpovraṇaityebhiviśrutaḥ satataṃcotthitaṃtoyaṃsamudrasyenadṛśyate,tadā saḥ kūpaḥ vraṇaḥityena viśrutaḥ babhūva samudrasyeva taīyam satatam utthitam dṛśyate
adīrghadarśinaṃ taṃ vai rāvaṇaṃ rākṣasādhipamantike yadi vā dūre yadi jānāsi śaṃsa naḥ,adīrghadarśinam rākṣasādhipam taṃ rāvaṇam antike dūre yadi vā jānāsi yadi naḥ śaṃsa
tacchṛtvā'pi hi me buddhirnāsītkācitparākrame apakṣo hi kathaṃ pakṣī karma kiñcidupakrame,tat śrutvā'pi me parākrame kācit buddhiḥ nāsīt apakṣaḥ pakṣī kiñcit karma katham upakrame
arhase ca kapiśreṣṭha mayā samabhibhāṣitumyadyasi preṣitastena rāmeṇa viditātmanā,kapiśreṣṭha viditātmanā tena rāmeṇa preṣitaḥ asi yadi mayā samabhibhāṣitum arhase
kaccinnāgavanaṃ guptaṃ kaccitte santi dhenukāḥkaccinna gaṇikāśvānāṃ kuñjarāṇāṃ ca tṛpyasi,nāgavanam guptaṃ kaccit te dhenukāḥ santi kaccit gaṇikāśvānām kuñjarāṇāṃca na tṛpyasi kaccit
vadataṃ kāryamiha vāṃ kimarthaṃ cāgatau yuvām imaṃ deśamanuprāptau kṣudhārtasyeha tiṣṭhataḥ,iha vām kāryam vadatam yuvām kimartham āgatau kṣudhārtasya iha tiṣṭhataḥ imam deśam anuprāptau
tasya te vigrahe tābhyāṃ yugagrahaṇamasthiram vṛtrasyevendrabāhubhyāṃ bāhorekasya vigrahe,tasya te tābhyām vigrahe indrabāhubhyām vṛtrasya ekasya bāhoḥ vigrahe iva yugagrahaṇam asthiram
abhipūjya tato hṛṣṭāssarve cakruryathāvidhiprātassavanapūrvāṇi karmāṇi munipuṅgavā:,tata: munipuṅgavā: hṛṣṭā: abhipūjya prātassavanapūrvāṇi karmāṇi yathāvidhi cakru:
sugrīvaśca mahātejāssatvāṃ kuśalamabravītdharmārthakāmasahitaṃ hitaṃ pathyamuvāca ca,mahātejāḥ saḥ sugrīvaśca tvām kuśalam abravīt dharmārthakāmasahitam pathyam hitam uvāca
dhūtapāpā: punastena toyenātha subhāsvatā punarākāśamāviśya svān lokān pratipedire,tena subhāsvatā toyena dhūtapāpā: puna: ākāśam āviśya atha puna: svān lokān pratipedire
yadimāṃpratiyudhyeran devagandharvadānavāḥ naivasītāṃpradāsyāmisarvalokabhayādapi,devagandharvadānavāḥ mām pratiyudhyerannapi sarvalokabhayādapi sītām nāvapradāsyāmi
sugrīvasya pramādaṃ ca pūrvajaṃ cārtamātmavān buddhvā kopavaśaṃ vīraḥ punareva jagāma saḥ,ātmavān saḥ vīraḥ sugrīvasya pramādam pūrvajaṃ ca ārtam buddhvā punareva krodhavaśam jagāma
evamuktā tu sā devī daivatairabhisatkṛtāsamudramadhye surasā bibhratī rākṣasaṃ vapuḥ vikṛtaṃ ca virūpaṃ ca sarvasya ca bhayāvahamplavamānaṃ hanūmantamāvṛtyedamuvāca ha,devī sā surasā daivataiḥ evam uktā abhisatkṛtā samudra madhye vikṛtam virūpaṃ ca sarvasya bhayāvaham rākṣasaṃ vapuḥ bibhratī plavamānam hanūmantam āvṛtya idam uvāca ha
kṣīrodaṃ samatikramya tadā drakṣyatha vānarāḥ jalodaṃ sāgaraṃ śīghraṃ sarvabhūtabhayāvaham,vānarāḥ kṣīrodam samatikramya sarvabhūtabhayāvaham jalodam sāgaram śīghraṃ tadā drakṣyatha
atha padmapalāśākṣīṃ maithilīmanucintayanuvāca lakṣmaṇaṃ rāmo mukhena pariśuṣyatā,atha rāmaḥ padmapalāśākṣīm maithilīm anucintayan pariśuṣyatā mukhena lakṣmaṇam uvāca
mahendradhvajasaṅkāśaḥ kva nu śete mahābhujaḥbhujaṃ parighasaṅkāśamupadhāya mahābalaḥ,mahendradhvajasaṅkāśaḥ mahābhujaḥ mahābalaḥ parighasaṅkāśam bhujam upadhāya kva śete nu
dharmamarthaṃ ca kāmaṃ ca samayaṃ cāpi laukikamavijñāya kathaṃ bālyānmāmihādya vigarhase,dharmam arthaṃ ca kāmaṃ ca laukikam samayaṃ ca avijñāya iha adya bālyāt mām katham vigarhase
buddhimānmadhurābhāṣī pūrvabhāṣī priyaṃvadaḥvīryavānna ca vīryeṇa mahatā svena vismitaḥ,buddhimān madhurābhāṣī pūrvabhāṣī priyaṃvada: vīryavān mahatā svena vīryeṇa na ca vismita:
sā vānarāṇāṃ dhvajinī parivāryāṅgadaṃ babhauvāsavaṃ parivāryeva marutāṃ vāhinī sthitā,vānarāṇām sā dhvajinī aṅgadam parivārya sthitā vāsavam parivārya marutām vāhinī iva babhau
santicaughabalāḥkecitkecicchataguṇottarāḥ aprameyabalāścānyetatrāsanhariyūthapāḥ,kecit oghabalāḥ kecit śataguṇottarāḥ santi tatra anye hariyūthapāḥ aprameyābalāśca āsan
tasmānnāsya vadhe yatnaḥ kārya: parapurañjayabhavān sendreṣu deveṣu yatnamāsthātumarhati,parapurañjaya tasmāt asya vadhe yatnaḥ na kāryaḥ bhavān sendreṣu deveṣu yatnam āsthātum arhati
eṣasetuṃmahotsāhaḥkarotumayivānaraḥ tamahaṃdhārayiṣyāmiyathāhyeṣapitātathā,mahotsāhaḥ eṣaḥvānaraḥ mayi setum karotu tam aham dhārayiṣyāmi pitā yathā eṣaḥ tathā
